Date,Close,daychange
2024-11-01 00:00:00,1.28936,-0.02404
2024-11-01 00:01:00,1.28945,-0.01706
2024-11-01 00:02:00,1.28929,-0.02946
2024-11-01 00:03:00,1.28928,-0.03024
2024-11-01 00:04:00,1.28931,-0.02791
2024-11-01 00:05:00,1.2893,-0.02869
2024-11-01 00:06:00,1.28929,-0.02946
2024-11-01 00:07:00,1.28913,-0.04187
2024-11-01 00:08:00,1.28893,-0.05738
2024-11-01 00:09:00,1.28902,-0.0504
2024-11-01 00:10:00,1.28914,-0.0411
2024-11-01 00:11:00,1.28907,-0.04652
2024-11-01 00:12:00,1.28907,-0.04652
2024-11-01 00:13:00,1.28915,-0.04032
2024-11-01 00:14:00,1.28926,-0.03179
2024-11-01 00:15:00,1.289,-0.05195
2024-11-01 00:16:00,1.28902,-0.0504
2024-11-01 00:17:00,1.28899,-0.05273
2024-11-01 00:18:00,1.28901,-0.05118
2024-11-01 00:19:00,1.28909,-0.04497
2024-11-01 00:20:00,1.28914,-0.0411
2024-11-01 00:21:00,1.28915,-0.04032
2024-11-01 00:22:00,1.28898,-0.0535
2024-11-01 00:23:00,1.28886,-0.06281
2024-11-01 00:24:00,1.28904,-0.04885
2024-11-01 00:25:00,1.28905,-0.04807
2024-11-01 00:26:00,1.28904,-0.04885
2024-11-01 00:27:00,1.28906,-0.0473
2024-11-01 00:28:00,1.28928,-0.03024
2024-11-01 00:29:00,1.28915,-0.04032
2024-11-01 00:30:00,1.28904,-0.04885
2024-11-01 00:31:00,1.28909,-0.04497
2024-11-01 00:32:00,1.28909,-0.04497
2024-11-01 00:33:00,1.28901,-0.05118
2024-11-01 00:34:00,1.28904,-0.04885
2024-11-01 00:35:00,1.28913,-0.04187
2024-11-01 00:36:00,1.28927,-0.03102
2024-11-01 00:37:00,1.28926,-0.03179
2024-11-01 00:38:00,1.28926,-0.03179
2024-11-01 00:39:00,1.28936,-0.02404
2024-11-01 00:40:00,1.28925,-0.03257
2024-11-01 00:41:00,1.28949,-0.01396
2024-11-01 00:42:00,1.28948,-0.01473
2024-11-01 00:43:00,1.28947,-0.01551
2024-11-01 00:44:00,1.2895,-0.01318
2024-11-01 00:45:00,1.28953,-0.01086
2024-11-01 00:46:00,1.28952,-0.01163
2024-11-01 00:47:00,1.28952,-0.01163
2024-11-01 00:48:00,1.28961,-0.00465
2024-11-01 00:49:00,1.28956,-0.00853
2024-11-01 00:50:00,1.28965,-0.00155
2024-11-01 00:51:00,1.28969,0.00155
2024-11-01 00:52:00,1.28969,0.00155
2024-11-01 00:53:00,1.28984,0.01318
2024-11-01 00:54:00,1.28967,0.0
2024-11-01 00:55:00,1.28982,0.01163
2024-11-01 00:56:00,1.2898,0.01008
2024-11-01 00:57:00,1.28951,-0.01241
2024-11-01 00:58:00,1.28948,-0.01473
2024-11-01 00:59:00,1.28947,-0.01551
2024-11-01 01:00:00,1.28941,-0.02016
2024-11-01 01:01:00,1.28953,-0.01086
2024-11-01 01:02:00,1.28967,0.0
2024-11-01 01:03:00,1.28966,-0.00078
2024-11-01 01:04:00,1.28971,0.0031
2024-11-01 01:05:00,1.28956,-0.00853
2024-11-01 01:06:00,1.28972,0.00388
2024-11-01 01:07:00,1.28968,0.00078
2024-11-01 01:08:00,1.2897,0.00233
2024-11-01 01:09:00,1.28972,0.00388
2024-11-01 01:10:00,1.28979,0.0093
2024-11-01 01:11:00,1.28976,0.00698
2024-11-01 01:12:00,1.28968,0.00078
2024-11-01 01:13:00,1.2898,0.01008
2024-11-01 01:14:00,1.2898,0.01008
2024-11-01 01:15:00,1.28984,0.01318
2024-11-01 01:16:00,1.28983,0.01241
2024-11-01 01:17:00,1.28985,0.01396
2024-11-01 01:18:00,1.28966,-0.00078
2024-11-01 01:19:00,1.28978,0.00853
2024-11-01 01:20:00,1.29001,0.02636
2024-11-01 01:21:00,1.28988,0.01628
2024-11-01 01:22:00,1.28999,0.02481
2024-11-01 01:23:00,1.28982,0.01163
2024-11-01 01:24:00,1.28975,0.0062
2024-11-01 01:25:00,1.28978,0.00853
2024-11-01 01:26:00,1.28985,0.01396
2024-11-01 01:27:00,1.28975,0.0062
2024-11-01 01:28:00,1.2897,0.00233
2024-11-01 01:29:00,1.2896,-0.00543
2024-11-01 01:30:00,1.28955,-0.0093
2024-11-01 01:31:00,1.28958,-0.00698
2024-11-01 01:32:00,1.28948,-0.01473
2024-11-01 01:33:00,1.28938,-0.02249
2024-11-01 01:34:00,1.28938,-0.02249
2024-11-01 01:35:00,1.28937,-0.02326
2024-11-01 01:36:00,1.28925,-0.03257
2024-11-01 01:37:00,1.28929,-0.02946
2024-11-01 01:38:00,1.2893,-0.02869
2024-11-01 01:39:00,1.2891,-0.0442
2024-11-01 01:40:00,1.28913,-0.04187
2024-11-01 01:41:00,1.289,-0.05195
2024-11-01 01:42:00,1.28897,-0.05428
2024-11-01 01:43:00,1.28889,-0.06048
2024-11-01 01:44:00,1.28888,-0.06126
2024-11-01 01:45:00,1.28895,-0.05583
2024-11-01 01:46:00,1.28905,-0.04807
2024-11-01 01:47:00,1.2891,-0.0442
2024-11-01 01:48:00,1.2892,-0.03644
2024-11-01 01:49:00,1.28911,-0.04342
2024-11-01 01:50:00,1.28929,-0.02946
2024-11-01 01:51:00,1.28946,-0.01628
2024-11-01 01:52:00,1.28955,-0.0093
2024-11-01 01:53:00,1.28946,-0.01628
2024-11-01 01:54:00,1.28946,-0.01628
2024-11-01 01:55:00,1.28936,-0.02404
2024-11-01 01:56:00,1.28949,-0.01396
2024-11-01 01:57:00,1.28956,-0.00853
2024-11-01 01:58:00,1.28956,-0.00853
2024-11-01 01:59:00,1.28957,-0.00775
2024-11-01 02:00:00,1.28935,-0.02481
2024-11-01 02:01:00,1.28917,-0.03877
