Date,Close,daychange
2024-01-16 00:00:00,1.09457,0.00914
2024-01-16 00:01:00,1.09449,0.00183
2024-01-16 00:02:00,1.09447,0.0
2024-01-16 00:03:00,1.09434,-0.01188
2024-01-16 00:04:00,1.09442,-0.00457
2024-01-16 00:05:00,1.09442,-0.00457
2024-01-16 00:06:00,1.09445,-0.00183
2024-01-16 00:07:00,1.09447,0.0
2024-01-16 00:08:00,1.09453,0.00548
2024-01-16 00:09:00,1.09447,0.0
2024-01-16 00:10:00,1.09446,-0.00091
2024-01-16 00:11:00,1.09448,0.00091
2024-01-16 00:12:00,1.09442,-0.00457
2024-01-16 00:13:00,1.09441,-0.00548
2024-01-16 00:14:00,1.09438,-0.00822
2024-01-16 00:15:00,1.09437,-0.00914
2024-01-16 00:16:00,1.09441,-0.00548
2024-01-16 00:17:00,1.09436,-0.01005
2024-01-16 00:18:00,1.09436,-0.01005
2024-01-16 00:19:00,1.09432,-0.01371
2024-01-16 00:20:00,1.09427,-0.01827
2024-01-16 00:21:00,1.09427,-0.01827
2024-01-16 00:22:00,1.09429,-0.01645
2024-01-16 00:23:00,1.09419,-0.02558
2024-01-16 00:24:00,1.0941,-0.03381
2024-01-16 00:25:00,1.09409,-0.03472
2024-01-16 00:26:00,1.09404,-0.03929
2024-01-16 00:27:00,1.09399,-0.04386
2024-01-16 00:28:00,1.09394,-0.04843
2024-01-16 00:29:00,1.09386,-0.05573
2024-01-16 00:30:00,1.09392,-0.05025
2024-01-16 00:31:00,1.09386,-0.05573
2024-01-16 00:32:00,1.09377,-0.06396
2024-01-16 00:33:00,1.09376,-0.06487
2024-01-16 00:34:00,1.09368,-0.07218
2024-01-16 00:35:00,1.09367,-0.07309
2024-01-16 00:36:00,1.09362,-0.07766
2024-01-16 00:37:00,1.09357,-0.08223
2024-01-16 00:38:00,1.0935,-0.08863
2024-01-16 00:39:00,1.09336,-0.10142
2024-01-16 00:40:00,1.09332,-0.10507
2024-01-16 00:41:00,1.09302,-0.13248
2024-01-16 00:42:00,1.09311,-0.12426
2024-01-16 00:43:00,1.09317,-0.11878
2024-01-16 00:44:00,1.09317,-0.11878
2024-01-16 00:45:00,1.09307,-0.12792
2024-01-16 00:46:00,1.09301,-0.1334
2024-01-16 00:47:00,1.09294,-0.13979
2024-01-16 00:48:00,1.09297,-0.13705
2024-01-16 00:49:00,1.09298,-0.13614
2024-01-16 00:50:00,1.09281,-0.15167
2024-01-16 00:51:00,1.09288,-0.14528
2024-01-16 00:52:00,1.09259,-0.17177
2024-01-16 00:53:00,1.09259,-0.17177
2024-01-16 00:54:00,1.0925,-0.18
2024-01-16 00:55:00,1.09224,-0.20375
2024-01-16 00:56:00,1.09197,-0.22842
2024-01-16 00:57:00,1.09219,-0.20832
2024-01-16 00:58:00,1.0919,-0.23482
2024-01-16 00:59:00,1.09193,-0.23208
2024-01-16 01:00:00,1.09219,-0.20832
2024-01-16 01:01:00,1.09205,-0.22111
2024-01-16 01:02:00,1.09187,-0.23756
2024-01-16 01:03:00,1.09168,-0.25492
2024-01-16 01:04:00,1.09169,-0.254
2024-01-16 01:05:00,1.09173,-0.25035
2024-01-16 01:06:00,1.09165,-0.25766
2024-01-16 01:07:00,1.09186,-0.23847
2024-01-16 01:08:00,1.0919,-0.23482
2024-01-16 01:09:00,1.09152,-0.26954
2024-01-16 01:10:00,1.09156,-0.26588
2024-01-16 01:11:00,1.09156,-0.26588
2024-01-16 01:12:00,1.09171,-0.25218
2024-01-16 01:13:00,1.0919,-0.23482
2024-01-16 01:14:00,1.09192,-0.23299
2024-01-16 01:15:00,1.09181,-0.24304
2024-01-16 01:16:00,1.09177,-0.24669
2024-01-16 01:17:00,1.09182,-0.24213
2024-01-16 01:18:00,1.09176,-0.24761
2024-01-16 01:19:00,1.09172,-0.25126
2024-01-16 01:20:00,1.09167,-0.25583
2024-01-16 01:21:00,1.09182,-0.24213
2024-01-16 01:22:00,1.09194,-0.23116
2024-01-16 01:23:00,1.09214,-0.21289
2024-01-16 01:24:00,1.09211,-0.21563
2024-01-16 01:25:00,1.0921,-0.21654
2024-01-16 01:26:00,1.09212,-0.21472
2024-01-16 01:27:00,1.09213,-0.2138
2024-01-16 01:28:00,1.09212,-0.21472
2024-01-16 01:29:00,1.09227,-0.20101
2024-01-16 01:30:00,1.09244,-0.18548
2024-01-16 01:31:00,1.09233,-0.19553
2024-01-16 01:32:00,1.09228,-0.2001
2024-01-16 01:33:00,1.09239,-0.19005
2024-01-16 01:34:00,1.09259,-0.17177
2024-01-16 01:35:00,1.09256,-0.17451
2024-01-16 01:36:00,1.09263,-0.16812
2024-01-16 01:37:00,1.09278,-0.15441
2024-01-16 01:38:00,1.09278,-0.15441
2024-01-16 01:39:00,1.09287,-0.14619
2024-01-16 01:40:00,1.09287,-0.14619
2024-01-16 01:41:00,1.09293,-0.14071
2024-01-16 01:42:00,1.09298,-0.13614
2024-01-16 01:43:00,1.09296,-0.13797
2024-01-16 01:44:00,1.09297,-0.13705
2024-01-16 01:45:00,1.09294,-0.13979
2024-01-16 01:46:00,1.09302,-0.13248
2024-01-16 01:47:00,1.09302,-0.13248
2024-01-16 01:48:00,1.093,-0.13431
2024-01-16 01:49:00,1.09292,-0.14162
2024-01-16 01:50:00,1.09282,-0.15076
2024-01-16 01:51:00,1.09283,-0.14984
2024-01-16 01:52:00,1.09282,-0.15076
2024-01-16 01:53:00,1.09288,-0.14528
2024-01-16 01:54:00,1.09286,-0.1471
2024-01-16 01:55:00,1.09282,-0.15076
2024-01-16 01:56:00,1.09265,-0.16629
2024-01-16 01:57:00,1.09262,-0.16903
2024-01-16 01:58:00,1.09267,-0.16446
2024-01-16 01:59:00,1.09272,-0.15989
2024-01-16 02:00:00,1.09262,-0.16903
2024-01-16 02:01:00,1.09257,-0.1736
2024-01-16 02:02:00,1.09242,-0.18731
2024-01-16 02:03:00,1.09225,-0.20284
2024-01-16 02:04:00,1.09219,-0.20832
2024-01-16 02:05:00,1.09226,-0.20192
2024-01-16 02:06:00,1.09237,-0.19187
2024-01-16 02:07:00,1.09242,-0.18731
2024-01-16 02:08:00,1.09253,-0.17725
2024-01-16 02:09:00,1.09241,-0.18822
2024-01-16 02:10:00,1.09267,-0.16446
2024-01-16 02:11:00,1.09257,-0.1736
2024-01-16 02:12:00,1.09258,-0.17269
2024-01-16 02:13:00,1.09256,-0.17451
2024-01-16 02:14:00,1.09261,-0.16995
2024-01-16 02:15:00,1.09253,-0.17725
2024-01-16 02:16:00,1.09256,-0.17451
2024-01-16 02:17:00,1.09249,-0.18091
2024-01-16 02:18:00,1.09251,-0.17908
